name,x1,x2,y1,y2,classname
2756.png,69,126,294,392,face_with_mask
2756.png,505,10,723,283,face_with_mask
2756.png,75,252,264,390,face_with_mask
2756.png,521,136,711,277,face_with_mask
6098.jpg,360,85,728,653,face_without_mask
6427.png,218,98,577,580,face_with_mask
6427.png,278,386,582,582,face_with_mask
4591.png,239,9,522,342,face_with_mask
4591.png,255,159,491,341,face_with_mask
5392.jpg,261,0,444,257,face_without_mask
5525.jpg,262,18,484,319,face_without_mask
5525.jpg,49,58,191,247,face_without_mask
3911.png,49,26,389,476,face_without_mask
4287.png,160,312,588,595,face_with_mask
4287.png,80,0,629,599,face_with_mask
4893.png,179,8,664,599,face_with_mask
4893.png,185,214,584,596,face_with_mask
1987.jpg,365,67,464,199,face_with_mask
1987.jpg,72,150,103,191,face_without_mask
1987.jpg,367,127,456,198,face_with_mask
1987.jpg,764,138,794,169,face_without_mask
4070.png,154,15,493,485,face_with_mask
4070.png,167,236,488,481,face_with_mask
3754.png,538,51,692,257,face_with_mask
3754.png,353,181,641,478,face_without_mask
3754.png,583,171,688,252,face_with_mask
5342.jpg,374,17,467,136,face_without_mask
3673.png,119,26,389,379,face_with_mask
3673.png,173,208,369,372,face_with_mask
1926.jpg,442,84,805,489,face_with_mask
1926.jpg,574,242,781,483,face_with_mask
4650.png,524,287,652,384,face_with_mask
4650.png,58,6,186,132,face_with_mask
4650.png,528,311,614,377,face_with_mask
4650.png,86,102,173,128,face_with_mask
4650.png,251,36,286,76,face_with_mask
4650.png,262,58,285,76,face_with_mask
3939.png,717,118,762,180,face_with_mask
3939.png,518,106,563,174,face_with_mask
3939.png,352,101,409,173,face_without_mask
3939.png,626,106,666,159,face_without_mask
3939.png,522,143,560,171,face_with_mask
3939.png,718,150,754,175,face_with_mask
3939.png,72,124,106,158,face_with_mask
3939.png,674,134,714,174,face_with_mask
3939.png,88,12,160,114,face_with_mask
3939.png,62,64,107,163,face_with_mask
3939.png,90,77,118,112,face_with_mask
3939.png,684,158,703,172,face_with_mask
3939.png,670,100,704,138,face_without_mask
4415.png,131,8,382,297,face_with_mask
4415.png,139,66,384,293,face_with_mask
3283.png,45,27,425,476,face_with_mask
3283.png,117,206,410,476,face_with_mask
3283.png,4,334,162,653,face_without_mask
2588.png,153,196,407,588,face_with_mask
2588.png,173,391,399,585,face_with_mask
2618.png,348,3,518,223,face_with_mask
2618.png,356,86,513,218,face_with_mask
4394.png,6,86,336,481,face_with_mask
4394.png,19,272,322,474,face_with_mask
6358.jpg,460,67,671,369,face_without_mask
6358.jpg,118,150,418,432,face_without_mask
6358.jpg,717,60,912,312,face_without_mask
2407.png,194,10,555,514,face_with_mask
2407.png,212,250,535,512,face_with_mask
4356.png,113,32,302,263,face_with_mask
4356.png,768,287,845,396,face_with_mask
4356.png,806,306,954,462,face_with_mask
4356.png,634,221,695,301,face_with_mask
4356.png,348,33,437,134,face_with_mask
4356.png,497,235,581,356,face_with_mask
4356.png,163,148,284,258,face_with_mask
4356.png,508,303,572,352,face_with_mask
4356.png,774,346,828,396,face_with_mask
4356.png,808,380,916,457,face_with_mask
4356.png,640,268,678,297,face_with_mask
4356.png,396,82,431,128,face_with_mask
4356.png,599,201,647,269,face_with_mask
4356.png,598,242,627,268,face_with_mask
2614.png,250,8,466,285,face_with_mask
2614.png,268,176,442,285,face_with_mask
2755.png,147,7,414,329,face_without_mask
6361.jpg,259,88,407,242,face_without_mask
4997.jpg,391,56,613,367,face_with_mask
4997.jpg,408,218,584,362,face_with_mask
4997.jpg,60,140,87,175,face_with_mask
4997.jpg,61,89,138,174,face_with_mask
5334.jpg,295,56,400,195,face_without_mask
3793.png,188,57,330,221,face_with_mask
3793.png,337,117,688,529,face_with_mask
3793.png,340,252,615,532,face_with_mask
3793.png,187,104,296,220,face_with_mask
2275.png,120,137,194,215,face_with_mask
2275.png,319,232,372,295,face_without_mask
2275.png,143,170,190,212,face_with_mask
2275.png,217,155,290,230,face_without_mask
2275.png,478,216,507,267,face_without_mask
4921.png,552,169,809,468,face_with_mask
4921.png,576,307,777,467,face_with_mask
4040.png,260,23,383,177,face_with_mask
4040.png,860,173,915,252,face_with_mask
4040.png,863,210,910,249,face_with_mask
4040.png,262,103,356,175,face_with_mask
4040.png,486,129,561,204,face_with_mask
4040.png,715,170,770,232,face_with_mask
4040.png,486,165,534,202,face_with_mask
4040.png,721,209,757,231,face_with_mask
4040.png,905,135,967,201,face_with_mask
4040.png,914,176,949,199,face_with_mask
2732.png,39,133,103,212,face_with_mask
2732.png,244,136,278,184,face_with_mask
2732.png,416,141,480,221,face_with_mask
2732.png,50,171,82,203,face_with_mask
2732.png,248,164,274,183,face_with_mask
2732.png,420,183,463,220,face_with_mask
2732.png,0,171,22,191,face_with_mask
2732.png,1,151,29,196,face_with_mask
2965.png,159,89,490,586,face_with_mask
2965.png,195,348,482,567,face_with_mask
5454.jpg,246,242,455,491,face_without_mask
5705.jpg,132,24,279,222,face_without_mask
5212.jpg,1657,3208,2015,3625,face_with_mask
5212.jpg,1729,3463,1971,3611,face_with_mask
5951.jpg,335,101,473,244,face_without_mask
4125.png,159,71,454,520,face_with_mask
4125.png,179,301,437,511,face_with_mask
5820.jpg,124,41,257,189,face_without_mask
5820.jpg,450,9,555,154,face_without_mask
5820.jpg,666,68,810,224,face_without_mask
5309.jpg,446,225,569,370,face_without_mask
3160.png,63,6,397,398,face_with_mask
3160.png,70,145,393,395,face_with_mask
5394.jpg,332,57,679,562,face_without_mask
4221.png,0,40,252,343,face_with_mask
4221.png,298,120,524,499,face_with_mask
4221.png,298,324,511,497,face_with_mask
4221.png,287,119,520,499,face_with_mask
4221.png,0,163,134,345,face_with_mask
4221.png,0,41,251,343,face_with_mask
5631.jpg,97,92,828,1045,face_without_mask
6403.png,636,367,1100,779,face_with_mask
6403.png,612,0,1112,779,face_with_mask
4019.png,207,123,296,242,face_with_mask
4019.png,210,196,261,237,face_with_mask
5298.jpg,166,378,328,597,face_without_mask
5298.jpg,422,455,609,730,face_without_mask
5298.jpg,300,9,412,160,face_without_mask
5298.jpg,530,231,659,419,face_without_mask
5298.jpg,616,50,717,192,face_without_mask
4931.png,133,67,486,407,face_with_mask
4931.png,278,256,408,389,face_with_mask
4729.png,869,122,1016,292,face_with_mask
4729.png,261,47,382,225,face_with_mask
4729.png,290,141,381,221,face_with_mask
4729.png,921,214,994,276,face_with_mask
5806.jpg,343,175,736,674,face_without_mask
4538.png,0,38,211,345,face_with_mask
4538.png,322,51,523,325,face_with_mask
4538.png,192,178,376,446,face_with_mask
4538.png,195,319,376,444,face_with_mask
4538.png,362,186,523,322,face_with_mask
4538.png,0,202,205,345,face_with_mask
5584.jpg,222,53,406,270,face_without_mask
4947.png,233,23,373,189,face_without_mask
4947.png,0,32,87,172,face_without_mask
6162.jpg,188,6,295,161,face_without_mask
2194.png,230,58,399,254,face_with_mask
2194.png,255,131,398,250,face_with_mask
4153.png,495,99,712,364,face_with_mask
4153.png,290,92,481,322,face_with_mask
4153.png,74,203,272,394,face_with_mask
4153.png,107,306,270,387,face_with_mask
4153.png,305,206,469,318,face_with_mask
4153.png,511,217,699,358,face_with_mask
6310.jpg,266,388,361,516,face_without_mask
6310.jpg,416,368,469,428,face_without_mask
6310.jpg,510,297,567,382,face_without_mask
6310.jpg,588,300,633,366,face_without_mask
6310.jpg,658,326,709,389,face_without_mask
6310.jpg,727,274,779,341,face_without_mask
3337.png,231,3,673,389,face_with_mask
3337.png,266,77,596,387,face_with_mask
3369.png,97,4,371,268,face_with_mask
3369.png,185,166,513,596,face_with_mask
3369.png,184,327,483,596,face_with_mask
3369.png,109,47,324,260,face_with_mask
5725.jpg,108,82,358,349,face_without_mask
5725.jpg,493,31,700,286,face_without_mask
5279.jpg,127,39,272,241,face_without_mask
5279.jpg,506,197,587,288,face_without_mask
5279.jpg,371,205,458,306,face_without_mask
4674.png,9,184,146,380,face_with_mask
4674.png,318,108,445,294,face_with_mask
4674.png,221,138,320,287,face_with_mask
4674.png,8,277,140,378,face_with_mask
4674.png,224,207,294,279,face_with_mask
4674.png,312,193,431,289,face_with_mask
1964.png,79,101,361,518,face_without_mask
3166.png,64,126,449,464,face_with_mask
3166.png,169,279,367,472,face_with_mask
4031.png,47,3,356,365,face_with_mask
4031.png,69,148,324,360,face_with_mask
2492.png,157,98,202,152,face_with_mask
2492.png,405,63,450,125,face_without_mask
2492.png,159,123,197,150,face_with_mask
2492.png,108,67,122,86,face_without_mask
2492.png,218,63,238,85,face_without_mask
2492.png,15,112,33,135,face_without_mask
2492.png,349,80,387,126,face_with_mask
2492.png,304,88,331,129,face_with_mask
